Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
0.26,5.4492428804e-6,-2.294573745,-1.10E-12,-3.00E-06,-1.10E-12,-3.00E-06,4.852527610e-14,4.2524264101e-5
0.2605,5.4899579300e-6,-2.290165702,-1.09E-12,-3.00E-06,-1.09E-12,-3.00E-06,4.908091750e-14,4.2606041856e-5
0.261,5.5301249409e-6,-2.285774592,-1.08E-12,-3.01E-06,-1.08E-12,-3.01E-06,4.963726471e-14,4.2687819613e-5
0.2615,5.5697477260e-6,-2.281400316,-1.07E-12,-3.02E-06,-1.07E-12,-3.02E-06,5.018987766e-14,4.2769597371e-5
0.262,5.6088304612e-6,-2.277042779,-1.06E-12,-3.02E-06,-1.06E-12,-3.02E-06,5.074319777e-14,4.2851375132e-5
0.2625,5.6473765753e-6,-2.272701885,-1.05E-12,-3.03E-06,-1.05E-12,-3.03E-06,5.129389353e-14,4.2933152894e-5
0.263,5.6853902343e-6,-2.268377538,-1.04E-12,-3.03E-06,-1.04E-12,-3.03E-06,5.184085562e-14,4.3014930658e-5
0.2635,5.7228752002e-6,-2.264069644,-1.03E-12,-3.04E-06,-1.03E-12,-3.04E-06,5.238852490e-14,4.3096708424e-5
0.264,5.7598355282e-6,-2.259778109,-1.02E-12,-3.04E-06,-1.02E-12,-3.04E-06,5.293246052e-14,4.3178486192e-5
0.2645,5.7962746178e-6,-2.255502839,-1.01E-12,-3.05E-06,-1.01E-12,-3.05E-06,5.348043497e-14,4.3260263962e-5
0.265,5.8321966582e-6,-2.251243743,-9.96E-13,-3.06E-06,-9.96E-13,-3.06E-06,5.402356557e-14,4.3342041734e-5
0.2655,5.8676050265e-6,-2.247000729,-9.85E-13,-3.06E-06,-9.85E-13,-3.06E-06,5.455630264e-14,4.3423819507e-5
0.266,5.9025034409e-6,-2.242773706,-9.75E-13,-3.07E-06,-9.75E-13,-3.07E-06,5.509862923e-14,4.3505597283e-5
0.2665,5.9368957490e-6,-2.238562583,-9.64E-13,-3.07E-06,-9.64E-13,-3.07E-06,5.563500320e-14,4.3587375060e-5
0.267,5.9707855333e-6,-2.234367272,-9.54E-13,-3.08E-06,-9.54E-13,-3.08E-06,5.616764502e-14,4.3669152840e-5
0.2675,6.0041765688e-6,-2.230187682,-9.43E-13,-3.08E-06,-9.43E-13,-3.08E-06,5.670543642e-14,4.3750930621e-5
0.268,6.0370722280e-6,-2.226023726,-9.33E-13,-3.09E-06,-9.33E-13,-3.09E-06,5.723727562e-14,4.3832708404e-5
0.2685,6.0694757825e-6,-2.221875316,-9.23E-13,-3.10E-06,-9.23E-13,-3.10E-06,5.776538282e-14,4.3914486189e-5
0.269,6.1013915168e-6,-2.217742365,-9.12E-13,-3.10E-06,-9.12E-13,-3.10E-06,5.829531028e-14,4.3996263976e-5
0.2695,6.1328224627e-6,-2.213624787,-9.02E-13,-3.11E-06,-9.02E-13,-3.11E-06,5.882150618e-14,4.4078041765e-5
0.27,6.1637724150e-6,-2.209522496,-8.91E-13,-3.11E-06,-8.91E-13,-3.11E-06,5.934508112e-14,4.4159819556e-5
0.2705,6.1942444357e-6,-2.205435407,-8.81E-13,-3.12E-06,-8.81E-13,-3.12E-06,5.987047644e-14,4.4241597348e-5
0.271,6.2242422827e-6,-2.201363436,-8.71E-13,-3.12E-06,-8.71E-13,-3.12E-06,6.039214069e-14,4.4323375143e-5
0.2715,6.2537693506e-6,-2.197306499,-8.60E-13,-3.13E-06,-8.60E-13,-3.13E-06,6.091007476e-14,4.4405152940e-5
0.272,6.2828287219e-6,-2.193264512,-8.50E-13,-3.14E-06,-8.50E-13,-3.14E-06,6.142760973e-14,4.4486930738e-5
0.2725,6.3114239258e-6,-2.189237393,-8.40E-13,-3.14E-06,-8.40E-13,-3.14E-06,6.194141410e-14,4.4568708539e-5
0.273,6.3395585095e-6,-2.185225061,-8.29E-13,-3.15E-06,-8.29E-13,-3.15E-06,6.245481946e-14,4.4650486341e-5
0.2735,6.3672356342e-6,-2.181227433,-8.19E-13,-3.15E-06,-8.19E-13,-3.15E-06,6.296671508e-14,4.4732264146e-5
0.274,6.3944585734e-6,-2.177244429,-8.09E-13,-3.16E-06,-8.09E-13,-3.16E-06,6.347932240e-14,4.4814041952e-5
0.2745,6.4212307846e-6,-2.173275969,-7.99E-13,-3.17E-06,-7.99E-13,-3.17E-06,6.398709033e-14,4.4895819760e-5
0.275,6.4475554626e-6,-2.169321974,-7.88E-13,-3.17E-06,-7.88E-13,-3.17E-06,6.449334955e-14,4.4977597571e-5
0.2755,6.4734354995e-6,-2.165382363,-7.78E-13,-3.18E-06,-7.78E-13,-3.18E-06,6.499588006e-14,4.5059375383e-5
0.276,6.4988741212e-6,-2.16145706,-7.68E-13,-3.18E-06,-7.68E-13,-3.18E-06,6.549912235e-14,4.5141153197e-5
0.2765,6.5238749103e-6,-2.157545985,-7.58E-13,-3.19E-06,-7.58E-13,-3.19E-06,6.599752616e-14,4.5222931013e-5
0.277,6.5484408236e-6,-2.153649063,-7.47E-13,-3.19E-06,-7.47E-13,-3.19E-06,6.650108358e-14,4.5304708832e-5
0.2775,6.5725751464e-6,-2.149766215,-7.37E-13,-3.20E-06,-7.37E-13,-3.20E-06,6.699536126e-14,4.5386486652e-5
0.278,6.5962806621e-6,-2.145897366,-7.27E-13,-3.21E-06,-7.27E-13,-3.21E-06,6.748924237e-14,4.5468264474e-5
0.2785,6.6195606409e-6,-2.14204244,-7.17E-13,-3.21E-06,-7.17E-13,-3.21E-06,6.797939534e-14,4.5550042298e-5
0.279,6.6424179550e-6,-2.138201362,-7.07E-13,-3.22E-06,-7.07E-13,-3.22E-06,6.847137174e-14,4.5631820124e-5
0.2795,6.6648562732e-6,-2.134374057,-6.97E-13,-3.22E-06,-6.97E-13,-3.22E-06,6.896295205e-14,4.5713597952e-5
0.28,6.6868777369e-6,-2.130560452,-6.87E-13,-3.23E-06,-6.87E-13,-3.23E-06,6.944636383e-14,4.5795375783e-5
0.2805,6.7084860693e-6,-2.126760473,-6.77E-13,-3.23E-06,-6.77E-13,-3.23E-06,6.993382049e-14,4.5877153615e-5
0.281,6.7296837027e-6,-2.122974047,-6.66E-13,-3.24E-06,-6.66E-13,-3.24E-06,7.041532949e-14,4.5958931449e-5
0.2815,6.7504739585e-6,-2.119201102,-6.56E-13,-3.25E-06,-6.56E-13,-3.25E-06,7.089200257e-14,4.6040709285e-5
0.282,6.7708598370e-6,-2.115441565,-6.46E-13,-3.25E-06,-6.46E-13,-3.25E-06,7.137494048e-14,4.6122487123e-5
0.2825,6.7908441631e-6,-2.111695366,-6.36E-13,-3.26E-06,-6.36E-13,-3.26E-06,7.184971185e-14,4.6204264963e-5
0.283,6.8104295187e-6,-2.107962432,-6.26E-13,-3.26E-06,-6.26E-13,-3.26E-06,7.231742632e-14,4.6286042806e-5
0.2835,6.8296193187e-6,-2.104242695,-6.16E-13,-3.27E-06,-6.16E-13,-3.27E-06,7.279251726e-14,4.6367820650e-5
0.284,6.8484158273e-6,-2.100536084,-6.06E-13,-3.27E-06,-6.06E-13,-3.27E-06,7.326499323e-14,4.6449598496e-5
0.2845,6.8668224298e-6,-2.096842529,-5.97E-13,-3.28E-06,-5.97E-13,-3.28E-06,7.373374346e-14,4.6531376344e-5
0.285,6.8848414928e-6,-2.093161962,-5.87E-13,-3.29E-06,-5.87E-13,-3.29E-06,7.419765836e-14,4.6613154195e-5
0.2855,6.9024761516e-6,-2.089494314,-5.77E-13,-3.29E-06,-5.77E-13,-3.29E-06,7.466117863e-14,4.6694932047e-5
0.286,6.9197293120e-6,-2.085839517,-5.67E-13,-3.30E-06,-5.67E-13,-3.30E-06,7.512541555e-14,4.6776709901e-5
0.2865,6.9366030420e-6,-2.082197504,-5.57E-13,-3.30E-06,-5.57E-13,-3.30E-06,7.558037622e-14,4.6858487758e-5
0.287,6.9531007296e-6,-2.078568208,-5.47E-13,-3.31E-06,-5.47E-13,-3.31E-06,7.603827399e-14,4.6940265616e-5
0.2875,6.9692247886e-6,-2.074951562,-5.37E-13,-3.32E-06,-5.37E-13,-3.32E-06,7.649466845e-14,4.7022043477e-5
0.288,6.9849782918e-6,-2.0713475,-5.28E-13,-3.32E-06,-5.28E-13,-3.32E-06,7.694511780e-14,4.7103821340e-5
0.2885,7.0003635899e-6,-2.067755956,-5.18E-13,-3.33E-06,-5.18E-13,-3.33E-06,7.739739499e-14,4.7185599204e-5
0.289,7.0153833277e-6,-2.064176866,-5.08E-13,-3.33E-06,-5.08E-13,-3.33E-06,7.784039689e-14,4.7267377071e-5
0.2895,7.0300402784e-6,-2.060610164,-4.98E-13,-3.34E-06,-4.98E-13,-3.34E-06,7.828633729e-14,4.7349154940e-5
