Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
4.1079,0.012114337,0.037186536,0.952813492,-0.301026332,0.952813492,-0.301026332,0.011447617,0.037397188
4.108,0.012114573,0.037183813,0.952810269,-0.301036858,0.952810269,-0.301036858,0.011446674,0.037394845
4.1081,0.012114808,0.037181074,0.952807043,-0.301047399,0.952807043,-0.301047399,0.011445724,0.037392489
4.1082,0.012115041,0.037178319,0.952803812,-0.301057954,0.952803812,-0.301057954,0.011444768,0.037390118
4.1083,0.012115273,0.037175549,0.952800578,-0.301068523,0.952800578,-0.301068523,0.011443805,0.037387734
4.1084,0.012115503,0.037172763,0.952797339,-0.301079107,0.952797339,-0.301079107,0.011442836,0.037385335
4.1085,0.012115732,0.037169961,0.952794096,-0.301089706,0.952794096,-0.301089706,0.01144186,0.037382921
4.1086,0.012115959,0.037167142,0.952790849,-0.30110032,0.952790849,-0.30110032,0.011440877,0.037380494
4.1087,0.012116184,0.037164308,0.952787598,-0.301110948,0.952787598,-0.301110948,0.011439888,0.037378051
4.1088,0.012116408,0.037161457,0.952784343,-0.301121592,0.952784343,-0.301121592,0.011438891,0.037375594
4.1089,0.012116631,0.03715859,0.952781083,-0.30113225,0.952781083,-0.30113225,0.011437888,0.037373123
4.109,0.012116851,0.037155706,0.952777819,-0.301142924,0.952777819,-0.301142924,0.011436878,0.037370637
4.1091,0.012117071,0.037152806,0.952774551,-0.301153613,0.952774551,-0.301153613,0.011435861,0.037368135
4.1092,0.012117288,0.037149889,0.952771278,-0.301164317,0.952771278,-0.301164317,0.011434837,0.037365619
4.1093,0.012117504,0.037146955,0.952768001,-0.301175037,0.952768001,-0.301175037,0.011433807,0.037363088
4.1094,0.012117718,0.037144004,0.95276472,-0.301185773,0.95276472,-0.301185773,0.011432769,0.037360541
4.1095,0.012117931,0.037141036,0.952761434,-0.301196524,0.952761434,-0.301196524,0.011431724,0.037357979
4.1096,0.012118141,0.037138051,0.952758144,-0.301207291,0.952758144,-0.301207291,0.011430671,0.037355402
4.1097,0.012118351,0.037135049,0.95275485,-0.301218074,0.95275485,-0.301218074,0.011429612,0.03735281
4.1098,0.012118558,0.037132029,0.95275155,-0.301228873,0.95275155,-0.301228873,0.011428545,0.037350201
4.1099,0.012118764,0.037128992,0.952748247,-0.301239688,0.952748247,-0.301239688,0.011427472,0.037347578
4.11,0.012118968,0.037125937,0.952744939,-0.301250519,0.952744939,-0.301250519,0.01142639,0.037344938
4.1101,0.01211917,0.037122865,0.952741626,-0.301261367,0.952741626,-0.301261367,0.011425302,0.037342282
4.1102,0.012119371,0.037119775,0.952738308,-0.301272231,0.952738308,-0.301272231,0.011424205,0.037339611
4.1103,0.01211957,0.037116667,0.952734986,-0.301283112,0.952734986,-0.301283112,0.011423102,0.037336923
4.1104,0.012119767,0.03711354,0.952731659,-0.301294009,0.952731659,-0.301294009,0.011421991,0.03733422
4.1105,0.012119962,0.037110396,0.952728328,-0.301304923,0.952728328,-0.301304923,0.011420872,0.0373315
4.1106,0.012120156,0.037107233,0.952724991,-0.301315854,0.952724991,-0.301315854,0.011419746,0.037328763
4.1107,0.012120348,0.037104052,0.95272165,-0.301326802,0.95272165,-0.301326802,0.011418612,0.03732601
4.1108,0.012120538,0.037100853,0.952718304,-0.301337767,0.952718304,-0.301337767,0.01141747,0.037323241
4.1109,0.012120726,0.037097635,0.952714953,-0.30134875,0.952714953,-0.30134875,0.01141632,0.037320455
4.111,0.012120912,0.037094398,0.952711598,-0.30135975,0.952711598,-0.30135975,0.011415163,0.037317652
4.1111,0.012121096,0.037091142,0.952708237,-0.301370767,0.952708237,-0.301370767,0.011413997,0.037314832
4.1112,0.012121279,0.037087867,0.952704871,-0.301381802,0.952704871,-0.301381802,0.011412824,0.037311995
4.1113,0.01212146,0.037084573,0.952701501,-0.301392855,0.952701501,-0.301392855,0.011411643,0.037309141
4.1114,0.012121639,0.037081259,0.952698125,-0.301403925,0.952698125,-0.301403925,0.011410453,0.037306269
4.1115,0.012121815,0.037077927,0.952694745,-0.301415014,0.952694745,-0.301415014,0.011409256,0.037303381
4.1116,0.012121991,0.037074574,0.952691359,-0.30142612,0.952691359,-0.30142612,0.01140805,0.037300474
4.1117,0.012122164,0.037071203,0.952687968,-0.301437245,0.952687968,-0.301437245,0.011406836,0.03729755
4.1118,0.012122335,0.037067811,0.952684572,-0.301448388,0.952684572,-0.301448388,0.011405614,0.037294609
4.1119,0.012122504,0.037064399,0.952681171,-0.30145955,0.952681171,-0.30145955,0.011404383,0.037291649
4.112,0.012122671,0.037060968,0.952677764,-0.30147073,0.952677764,-0.30147073,0.011403144,0.037288672
4.1121,0.012122836,0.037057516,0.952674352,-0.301481929,0.952674352,-0.301481929,0.011401897,0.037285676
4.1122,0.012123,0.037054044,0.952670935,-0.301493147,0.952670935,-0.301493147,0.011400641,0.037282663
4.1123,0.012123161,0.037050551,0.952667513,-0.301504384,0.952667513,-0.301504384,0.011399377,0.03727963
4.1124,0.01212332,0.037047038,0.952664085,-0.30151564,0.952664085,-0.30151564,0.011398103,0.03727658
4.1125,0.012123477,0.037043504,0.952660652,-0.301526915,0.952660652,-0.301526915,0.011396822,0.037273511
4.1126,0.012123632,0.037039949,0.952657213,-0.30153821,0.952657213,-0.30153821,0.011395531,0.037270423
4.1127,0.012123785,0.037036373,0.952653769,-0.301549524,0.952653769,-0.301549524,0.011394231,0.037267316
4.1128,0.012123936,0.037032776,0.952650319,-0.301560858,0.952650319,-0.301560858,0.011392923,0.03726419
4.1129,0.012124085,0.037029157,0.952646864,-0.301572212,0.952646864,-0.301572212,0.011391606,0.037261046
4.113,0.012124232,0.037025517,0.952643403,-0.301583586,0.952643403,-0.301583586,0.011390279,0.037257882
4.1131,0.012124377,0.037021856,0.952639936,-0.30159498,0.952639936,-0.30159498,0.011388944,0.037254698
4.1132,0.012124519,0.037018172,0.952636464,-0.301606394,0.952636464,-0.301606394,0.0113876,0.037251495
4.1133,0.012124659,0.037014467,0.952632985,-0.301617829,0.952632985,-0.301617829,0.011386246,0.037248273
4.1134,0.012124798,0.03701074,0.952629502,-0.301629284,0.952629502,-0.301629284,0.011384883,0.037245031
4.1135,0.012124934,0.03700699,0.952626012,-0.30164076,0.952626012,-0.30164076,0.01138351,0.037241768
4.1136,0.012125067,0.037003218,0.952622516,-0.301652257,0.952622516,-0.301652257,0.011382129,0.037238486
4.1137,0.012125199,0.036999424,0.952619015,-0.301663774,0.952619015,-0.301663774,0.011380737,0.037235184
4.1138,0.012125328,0.036995607,0.952615507,-0.301675313,0.952615507,-0.301675313,0.011379337,0.037231861
4.1139,0.012125455,0.036991767,0.952611994,-0.301686874,0.952611994,-0.301686874,0.011377926,0.037228518
4.114,0.01212558,0.036987903,0.952608474,-0.301698455,0.952608474,-0.301698455,0.011376506,0.037225154
4.1141,0.012125702,0.036984017,0.952604949,-0.301710059,0.952604949,-0.301710059,0.011375076,0.037221769
4.1142,0.012125823,0.036980108,0.952601417,-0.301721684,0.952601417,-0.301721684,0.011373637,0.037218363
4.1143,0.01212594,0.036976174,0.952597879,-0.301733331,0.952597879,-0.301733331,0.011372187,0.037214937
